,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend
237429,1164666,NORMAL,1239,43,2022-09-19 07:33:00,43 - TOLOSA HIRIBIDEA-PSIKOLOGIA,19/09/2022 7:54,18.0,18 - TERESA DE CALCUTA,1355,P32398,737.0,EFIT,Ordinario,43.30687232308195,-2.008501247136781,43.320289499766545,-1.9755618544813616,2022-09-19 07:33:00,True,True
237425,1164670,NORMAL,723,36,2022-09-19 07:34:00,36 - ERRONDOGAINA / ALTO DE ERRONDO,19/09/2022 7:46,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,21734,P32334,722.0,EFIT,Dbizi Ordinario Grupal FN o FNE -5,43.30068417272159,-1.988182126986473,43.30907225552243,-2.0106573112517827,2022-09-19 07:34:00,True,True
237428,1164667,NORMAL,637,11,2022-09-19 07:34:00,11 - SAN FRANTZISKO-IPARRAGIRRE,19/09/2022 7:44,25.0,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,19778,P15848,154.0,FIT,Dbizi Ocasional,43.322754906556675,-1.9754242189721487,43.308028841403846,-1.9788430368132444,2022-09-19 07:34:00,True,True
237426,1164669,NORMAL,747,36,2022-09-19 07:34:00,36 - ERRONDOGAINA / ALTO DE ERRONDO,19/09/2022 7:47,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,21732,P32314,797.0,EFIT,Dbizi Ordinario Grupal (FN 20%),43.30068417272159,-1.988182126986473,43.30907225552243,-2.0106573112517827,2022-09-19 07:34:00,True,True
237424,1164671,NORMAL,517,7,2022-09-19 07:35:00,07 - MARQUÉS MIRAFLORES,19/09/2022 7:44,38.0,38 - KRISTINA INFANTA,15045,P15999,224.0,FIT,Ordinario,43.31704533570667,-1.9860015608223442,43.31444640411938,-2.0043079706293203,2022-09-19 07:35:00,True,True
237423,1164672,NORMAL,148,24,2022-09-19 07:35:00,24 - MORLANS,19/09/2022 7:37,22.0,22 - ANTSO JAKITUNA / SANCHO EL SABIO,15394,P32408,708.0,EFIT,Dbizi Ordinario,43.308489387451,-1.9830022646209984,43.31109581854418,-1.9804310586157425,2022-09-19 07:35:00,True,True
237422,1164673,NORMAL,903,8,2022-09-19 07:35:00,08 - URDANETA,19/09/2022 7:50,31.0,31 - BARCELONA,10175,P15914,45.0,FIT,Dbizi Ordinario,43.31576219683798,-1.982698040693127,43.31202493382682,-1.9721476656757329,2022-09-19 07:35:00,True,True
237416,1164679,NORMAL,457,38,2022-09-19 07:36:00,38 - KRISTINA INFANTA,19/09/2022 7:44,46.0,46 - TOLOSA HIRIBIDEA-AMERIKA,12234,P15991,28.0,FIT,Ordinario,43.31444640411938,-2.0043079706293203,43.302007179191335,-2.003167624367996,2022-09-19 07:36:00,True,True
237415,1164680,NORMAL,969,22,2022-09-19 07:36:00,22 - ANTSO JAKITUNA / SANCHO EL SABIO,19/09/2022 7:53,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,22384,P15797,210.0,FIT,DBIZI ORDINARIO GRUPAL,43.31109581854418,-1.9804310586157425,43.30907225552243,-2.0106573112517827,2022-09-19 07:36:00,True,True
237418,1164677,NORMAL,742,46,2022-09-19 07:36:00,46 - TOLOSA HIRIBIDEA-AMERIKA,19/09/2022 7:48,26.0,26 - JAVIER BARKAIZTEGI,3684,P32308,712.0,EFIT,Ordinario,43.302007179191335,-2.003167624367996,43.30590821804648,-1.9805843656440028,2022-09-19 07:36:00,True,True
237419,1164676,NORMAL,518,19,2022-09-19 07:36:00,19 - FRANTZIA PASEALEKUA,19/09/2022 7:44,15.0,15 - SEGUNDO IZPIZUA,11524,P32376,769.0,EFIT,Ordinario,43.31785597968304,-1.9773212084271625,43.32394484791497,-1.9699386277507438,2022-09-19 07:36:00,True,True
237420,1164675,NORMAL,571,12,2022-09-19 07:36:00,12 - S.FRANTZISKO-GALTZADA NAGUSIA / GRAN VÍA,19/09/2022 7:45,25.0,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,22467,P15826,226.0,FIT,Dbizi Ordinario,43.32416306635694,-1.9733621599308762,43.308028841403846,-1.9788430368132444,2022-09-19 07:36:00,True,True
237421,1164674,NORMAL,912,44,2022-09-19 07:36:00,44 - BERNARDO ESTORNES,19/09/2022 7:51,6.0,06 - ARRASATE,17770,P32362,788.0,EFIT,Ordinario Grupal empresa -5,43.30324802621556,-2.0076820639204795,43.318344146702714,-1.9815228341201954,2022-09-19 07:36:00,True,True
237413,1164682,NORMAL,547,37,2022-09-19 07:37:00,37 - ANDOAIN,19/09/2022 7:46,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,12318,P32395,720.0,EFIT,Ordinario,43.298994502059585,-1.9916941032626039,43.30907225552243,-2.0106573112517827,2022-09-19 07:37:00,True,True
237412,1164683,NORMAL,549,37,2022-09-19 07:37:00,37 - ANDOAIN,19/09/2022 7:46,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,4072,P32429,818.0,EFIT,Ordinario,43.298994502059585,-1.9916941032626039,43.30907225552243,-2.0106573112517827,2022-09-19 07:37:00,True,True
237403,1164692,NORMAL,276,12,2022-09-19 07:38:00,12 - S.FRANTZISKO-GALTZADA NAGUSIA / GRAN VÍA,19/09/2022 7:43,2.0,02 - BRETXA,3139,P15775,174.0,FIT,Ordinario,43.32416306635694,-1.9733621599308762,43.322867283695366,-1.982435071211216,2022-09-19 07:38:00,True,True
